method,offered_demand_gbps,served_throughput_gbps,served_ratio,unmet_demand_gbps,unmet_fraction,connected_flows,avg_hops,matched_satellite_pairs,case,config,selection,offset_minutes,snapshot_utc,evaluation_seconds,candidate_inter_shell_pairs,selected_inter_shell_pairs
MRate,359.02336,121.7873898478091,0.33921856741524864,237.23597015219093,0.6607814325847513,314,9.591872791519435,963,shell43-s0-t090,shell43,0,90,2025-07-16T17:30:00,2.916244219057262,0,0
SaTE,359.02336,121.7873898478091,0.33921856741524864,237.23597015219093,0.6607814325847513,314,9.591872791519435,963,shell43-s0-t090,shell43,0,90,2025-07-16T17:30:00,2.6881824920419604,0,0
+Grid,362.43226000000004,122.18027496077048,0.33711203015087693,240.25198503922957,0.6628879698491231,319,27.584126984126986,979,shell43-s0-t120,shell43,0,120,2025-07-16T18:00:00,2.472958112019114,0,0
DRL,362.43226000000004,37.09474454324632,0.10234945571138264,325.33751545675375,0.8976505442886175,103,19.52132701421801,955,shell43-s0-t120,shell43,0,120,2025-07-16T18:00:00,2.6711624950403348,0,0
DuJo,362.43226000000004,155.3895531480054,0.42874095464902984,207.04270685199464,0.5712590453509702,400,12.899821109123435,957,shell43-s0-t120,shell43,0,120,2025-07-16T18:00:00,179.4671840709634,0,0
MRate,362.43226000000004,130.6938388492207,0.36060211320377683,231.73842115077935,0.6393978867962231,340,36.67287543655413,966,shell43-s0-t120,shell43,0,120,2025-07-16T18:00:00,2.8807767250109464,0,0
SaTE,362.43226000000004,130.6938388492207,0.36060211320377683,231.73842115077935,0.6393978867962231,340,36.67287543655413,966,shell43-s0-t120,shell43,0,120,2025-07-16T18:00:00,2.4598806969588622,0,0
+Grid,361.30636000000004,124.57526748318014,0.3447912388898444,236.7310925168199,0.6552087611101556,319,6.546948356807512,979,shell43-s0-t180,shell43,0,180,2025-07-16T19:00:00,2.726196391042322,0,0
DRL,361.30636000000004,38.30912641616108,0.10602948261459078,322.997233583839,0.8939705173854092,103,16.155963302752294,949,shell43-s0-t180,shell43,0,180,2025-07-16T19:00:00,2.6824097299249843,0,0
DuJo,361.30636000000004,154.71465335117992,0.4282090504888425,206.59170664882012,0.5717909495111575,398,8.438735177865613,956,shell43-s0-t180,shell43,0,180,2025-07-16T19:00:00,181.7482914379798,0,0
MRate,361.30636000000004,139.38389677646387,0.3857775899003379,221.92246322353617,0.614222410099662,359,13.564986737400531,973,shell43-s0-t180,shell43,0,180,2025-07-16T19:00:00,2.6170826900051907,0,0
SaTE,361.30636000000004,139.38389677646387,0.3857775899003379,221.92246322353617,0.614222410099662,359,13.564986737400531,973,shell43-s0-t180,shell43,0,180,2025-07-16T19:00:00,2.9975788990268484,0,0
+Grid,350.41501000000005,118.81062692364478,0.3390568997704886,231.60438307635528,0.6609431002295114,311,9.014117647058823,978,shell43-s1-t000,shell43,1,0,2025-07-16T16:00:00,2.981743010925129,0,0
DRL,350.41501000000005,41.618326012773,0.1187686737870418,308.7966839872271,0.8812313262129583,112,16.473913043478262,961,shell43-s1-t000,shell43,1,0,2025-07-16T16:00:00,3.380405635922216,0,0
DuJo,350.41501000000005,152.57833067741572,0.43542178937316556,197.83667932258433,0.5645782106268344,397,14.240270727580372,957,shell43-s1-t000,shell43,1,0,2025-07-16T16:00:00,166.97744392801542,0,0
MRate,350.41501000000005,128.44820808551196,0.3665602340650646,221.9668019144881,0.6334397659349355,337,31.728691476590637,966,shell43-s1-t000,shell43,1,0,2025-07-16T16:00:00,3.067929061013274,0,0
SaTE,350.41501000000005,128.44820808551196,0.3665602340650646,221.9668019144881,0.6334397659349355,337,31.728691476590637,966,shell43-s1-t000,shell43,1,0,2025-07-16T16:00:00,2.9299657569499686,0,0
+Grid,350.71167,119.67866865261044,0.3412451848340559,231.0330013473896,0.658754815165944,318,23.7779632721202,976,shell43-s1-t030,shell43,1,30,2025-07-16T16:30:00,3.425530355074443,0,0
DRL,350.71167,35.29936945615557,0.10065068395401718,315.4123005438445,0.8993493160459829,96,15.921465968586388,952,shell43-s1-t030,shell43,1,30,2025-07-16T16:30:00,3.380045376950875,0,0
DuJo,350.71167,143.27276134934323,0.40852008531493467,207.4389086506568,0.5914799146850653,372,6.807615230460922,949,shell43-s1-t030,shell43,1,30,2025-07-16T16:30:00,205.67107142391615,0,0
MRate,350.71167,127.2961965348032,0.3629653855966732,223.41547346519684,0.6370346144033269,330,11.80631868131868,965,shell43-s1-t030,shell43,1,30,2025-07-16T16:30:00,3.0385812129825354,0,0
